Image,Latitude,Longitude,lables,,,
155a.jpg,17.560261,78.165562,VC-       -R04-PWL-08,,,
156a.jpg,17.560306,78.165339,VC-       -R04-PNL-09,,,
157a.jpg,17.560394,78.165093,VC-       -R04-PNL-10,,,
158a.jpg,17.560193,78.164819,VC-       -,,,
159a.jpg,17.560327,78.164829,VC-S01-R04-PWL-11,,,
160a.jpg,17.560482,78.164834,VC-S01-R04-PWL-12,,,
161a.jpg,17.560662,78.164815,VC-S01-R04-PWL-13,,,
162a.jpg,17.560828,78.164825,VC-S01-R04-PWL-14,,,
163a.jpg,17.561079,78.164812,VC-S01-R04-PWL-15,,,
164a.jpg,17.56151,78.164781,VC-S01-R04-PWL-16,,,
165a.jpg,17.561857,78.164814,VC-S01-R04-PWL-17,,,
166a.jpg,17.562054,78.164779,VC-S01-R04-PWL-18,,,
167a.jpg,17.56233,78.164797,VC-S01-R04-PWL-19,,,
168a.jpg,17.562475,78.164769,VC-S01-R04-PWL-20,,,
169a.jpg,17.56075,78.16506,VC-S01-R04-PWL-21,,,
170a.jpg,17.560624,78.165333,VC-S01-R04-PWL-22,,,
171a.jpg,17.560479,78.165683,VC-S01-R04-PWL-23,,,
172a.jpg,17.560853,78.165833,VC-S01-R04-PWL-24,,,
173a.jpg,17.560824,78.166374,VC-S01-R04-PWL-25,,,
174a.jpg,17.560878,78.166235,VC-S01-R04-PWL-26,,,
175a.jpg,17.560969,78.165921,VC-S01-R04-PWL-27,,,
176a.jpg,17.561208,78.166011,VC-S01-R04-PWL-28,,,
177a.jpg,17.561425,78.166031,VC-S01-R04-PWL-29,,,
178a.jpg,17.561297,78.165785,VC-      -R0-PWL-01,,,
179a.jpg,17.561398,78.165527,VC-      -R0-PWL-02,,,
180a.jpg,17.56159,78.165781,VC-      -R0-PWL-03,,,
181a.jpg,17.561948,78.165803,VC-      -R0-PWL-04,,,
182a.jpg,17.562192,78.165788,VC-      -R0-PWL-05,,,
183a.jpg,17.562394,78.165863,VC-      -R0-PWL-06,,,
184a.jpg,17.562615,78.165894,VC-      -R0-PWL-07,,,
185a.jpg,17.562086,78.165728,VC-      -R0-PWL-08,,,
186a.jpg,17.562073,78.165529,VC-      -R0-PWL-09,,,
187a.jpg,17.561365,78.167227,VC-       -R03-PWL-01,,,
188a.jpg,17.561417,78.166852,VC-       -R03-PWL-02,,,
189a.jpg,17.561738,78.166889,VC-       -R03-PWL-03,,,
190a.jpg,17.56189,78.166862,VC-       -R03-PWL-04,,,
191a.jpg,17.561495,78.166512,VC-       -R03-PWL-05,,,
192a.jpg,17.561544,78.166248,VC-       -R24-CPT-01,,,
193a.jpg,17.561545,78.166216,VC-       -R03-PWL-06,,,
194a.jpg,17.561794,78.166395,VC-       -R03-PWL-07,,,
195a.jpg,17.561796,78.166245,VC-       -R03-PWL-08,,,
196a.jpg,17.562171,78.166326,VC-       -R03-PWL-09,,,
197a.jpg,17.562055,78.166656,VC-       -R03-PWL-10,,,
198a.jpg,17.562239,78.166626,VC-       -R03-PWL-11,,,
199a.jpg,17.562465,78.166664,VC-       -R03-PWL-12,,,
200a.jpg,17.562708,78.166692,VC-       -R03-PWL-13,,,
201a.jpg,17.562637,78.16613,VC-       -R03-PWL-14,,,
202a.jpg,17.562607,78.166406,VC-       -R03-PWL-15,,,
203a.jpg,17.562796,78.166468,VC-       -R03-PWL-16,,,
204a.jpg,17.562854,78.166247,VC-       -R03-PWL-17,,,
205a.jpg,17.562867,78.166006,VC-       -R03-PWL-18,,,
206a.jpg,17.56298,78.166472,VC-       -R03-PWL-19,,,
207a.jpg,17.56309,78.1665,VC-       -R03-PWL-20,,,
208a.jpg,17.563138,78.166342,VC-       -R03-PWL-21,,,
209a.jpg,17.563205,78.166004,VC-       -R03-PWL-22,,,
210a.jpg,17.563238,78.166484,VC-       -R03-PWL-23,,,
211a.jpg,17.563427,78166543,VC-       -R03-PWL-24,,,
212a.jpg,17.563382,78.167031,VC-       -R01-PWL-01,,,
213a.jpg,17.563339,78.167268,VC-       -R01-PWL-02,,,
214a.jpg,17.563286,78.167451,VC-       -R01-PWL-03,,,
215a.jpg,17.563122,78.167387,VC-       -R01-PWL-04,,,
216a.jpg,17.562993,78.167442,VC-       -R01-CPT,IMAX,,
217a.jpg,17.562984,78.167437,VC-       -R01-PWL-05,,,
218a.jpg,17.562952,78.16712,VC-       -R01-PWL-06,,,
219a.jpg,17.562982,78.166884,VC-       -R01-PWL-07,,,
220a.jpg,17.562725,78.167384,VC-       -R01-PWL-08,,,
221a.jpg,17.562379,78.167309,VC-       -R01-PWL-09,,,
222a.jpg,17.562476,78.167062,VC-       -R01-PWL-10,,,
223a.jpg,17.562261,78.166975,VC-       -R01-PWL-11,,,
224a.jpg,17.561922,78.167191,VC-        -R25-PWL-01,,,
225a.jpg,17.561878,78.167292,VC-        -R25-PWL-02,,,
226a.jpg,17.561606,78.167267,VC-        -R25-PWL-03,,,
227a.jpg,17.561103,78.167193,VC-        -R25-PWL-04,,,
228a.jpg,17.561182,78.167172,VC-        -R25-PWL-05,,,
229a.jpg,17.561299,78.166957,VC-        -R25-PWL-06,,,
230a.jpg,17.561228,78.16678,VC-        -R25-PWL-07,,,
231a.jpg,17.560825,78.167173,VC-        -R25-CPM-08,,,
232a.jpg,17.56071,78.167478,VC-        -R25-PWL-09,,,
233a.jpg,17.560678,78.167085,VC-        -R25-PWL-10,,,
234a.jpg,17.56054,78.167048,VC-        -R25-PWL-11,,,
235a.jpg,17.560474,78.167312,VC-        -R25-PWL-12,,,
236a.jpg,17.560374,78.167549,VC-        -R25-PWL-13,,,
237a.jpg,17.560283,78.167766,VC-        -R25-PWL-14,,,
238a.jpg,17.560247,78.167951,VC-        -R25-PWL-15,,,
239a.jpg,17.559522,78.167832,VC-        -R26-PNL-01,,,
240a.jpg,17.559729,78.167868,VC-        -R26-PNL-02,,,
241a.jpg,17.559769,78.167938,VC-        -R26-PWL-03,,,
242a.jpg,17.559785,78.168246,VC-        -R26-PWL-04,,,
243a.jpg,17.559769,78.168366,VC-        -R26-PWL-05,,,
244a.jpg,17.55973,78.168448,VC-        -R26-PWL-06,,,
245a.jpg,17.559722,78.168438,VC-        -R26-PWL-07,,,
246a.jpg,17.559668,78.168573,VC-        -R26-PWL-08,,,
247a.jpg,17.55986,78.167944,VC-        -R26-PWL-09,,,
248a.jpg,17.56015,78.168071,VC-        -R26-PWL-10,,,
249a.jpg,17.560526,78.168221,VC-        -R26-PWL-11,,,
250a.jpg,17.560504,78.167986,VC-        -R26-PWL-12,,,
251a.jpg,17.560574,78.167785,VC-        -R26-PWL-13,,,
252a.jpg,17.560843,78.1683,VC-        -R26-PWL-14,,,
253a.jpg,17.560931,78.168045,VC-        -R26-PWL-15,,,
254a.jpg,17.561016,78.167802,VC-        -R26-PWL-16,,,
255a.jpg,17.561001,78.168389,VC-        -R26-PWL-17,,,
256a.jpg,17.561332,78.168161,VC-        -R26-PWL-18,,,
257a.jpg,17.56121,78.16848,VC-        -R26-PWL-19,,,
258a.jpg,17.561193,78.168494,VC-        -R00-CTP-01,,,
259a.jpg,17.561134,78.168789,VC-        -R26-PWL-20,,,
260a.jpg,17.561084,78.169129,VC-        -R26-CTM-21,,,
261a.jpg,17.561067,78.169173,VC-        -R26-PNL-22,,,
262a.jpg,17.560781,78.169136,VC-        -R26-PWL-23,,,
263a.jpg,17.560562,78.169063,VC-        -R26-PWL-24,,,
264a.jpg,17.561413,78.168592,VC-        -R26-PNL-25,,,
265a.jpg,17.561378,78.168947,VC-        -R26-PWL-26,,,
266a.jpg,17.561591,78.167867,VC-       -R02-PWL-01,,,
267a.jpg,17.561577,78.168194,VC-       -R02-PWL-02,,,
268a.jpg,17.56159,78.168424,VC-       -R02-PWL-03,,,
269a.jpg,17.556153,78.168627,VC-       -R02-PWL-04,,,
270a.jpg,17.561712,78.168682,VC-       -R02-PWL-05,,,
271a.jpg,17.561697,78.168849,VC-       -R02-PWL-06,,,
272a.jpg,17.561792,78.16863,VC-       -R02-PWL-07,,,
273a.jpg,17.561874,78.168332,VC-       -R02-PWL-08,,,
274a.jpg,17.561889,78.168109,VC-       -R02-PWL-09,,,
275a.jpg,17.562319,78.168595,VC-       -R02-PNL-10,,,
276a.jpg,17.562328,78.168975,VC-       -R02-PWL-11,,,
277a.jpg,17.562332,78.168547,VC-       -R00-CPT-01,,,
278a.jpg,17.562505,78.168597,VC-       -R02-PWL-12,,,
